make,model,colour,capacity,network,grade,condition,count
Acer,"liquid z2",Black,2GB,Unlocked,"Grade C - Acceptable Condition",Working,1
Acer,"LIQUID Z200",Black,4GB,"EE Network","Not Graded","Non-working - Need Battery",1
Acer,"LIQUID Z220",Black,8GB,Unlocked,"Grade A - Very Good Condition",Working,1
Acer,"LIQUID Z220",Black,8GB,Unlocked,"Grade C - Acceptable Condition",Working,1
Acer,"LIQUID Z220",Black,8GB,"EE Network","Not Graded","Non-working - Need Battery",1
Acer,"LIQUID Z220",White,8GB,"EE Network","Not Graded","Non-working - Need Battery",2
Acer,"liquid z4",Black,4GB,Unlocked,"Insurance Grade","Brand New",2
Acer,"liquid z4",Black,4GB,Unlocked,"Grade B - Good Condition",Working,1
Acer,"liquid z4",Black,4GB,Unlocked,"Grade A - Very Good Condition",Working,3
Acer,"liquid z4",Black,4GB,Unlocked,"Not Graded",Working,1
Acer,"liquid z4",White,4GB,Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",1
Acer,"liquid z4",White,4GB,Damaged,"Grade B - Good Condition","Non-working - Need Battery",1
Acer,"liquid z4",Pink,4GB,Damaged,Unknown,Non-working,1
Acer,"liquid z4",Pink,4GB,Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",1
Acer,"liquid z4",Black,4GB,Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",2
Acer,"LIQUID Z410",Black,8GB,"EE Network","Not Graded","Non-working - Need Battery",2
Acer,"LIQUID Z5",Grey,4GB,Unlocked,"Grade A - Very Good Condition",Working,1
Acer,"LIQUID Z5",Black,4GB,Unlocked,"Insurance Grade","Brand New",1
Acer,"LIQUID Z5",White,4GB,Unlocked,"Insurance Grade","Brand New",2
Acer,"Liquid Z5 Duo",Grey,4GB,Unlocked,"Grade D","Working - Minor Issue",1
Acer,"LIQUID Z500",Silver,4GB,Unlocked,"Grade A - Very Good Condition",Working,1
Acer,"LIQUID Z500",Silver,4GB,Unlocked,"Grade A - Very Good Condition",Non-working,1
Acer,"LIQUID Z500",Black,4GB,Unlocked,"Grade C - Acceptable Condition",Working,1
Acer,"P223W - MONITOR",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,1
Acer,"V173 MONITOR",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,2
Acer,V193HQV,Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,2
ADMET,V10,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition",BER-Scrap,1
Advent," 7113 1.73GHz 1GB RAM 80GB HDD 15.4 Inch",Black,"Not Applicable","Not Applicable","Not Graded",BER,1
AEROFLEX,"9102 HANDHELD SPECTRUM ANALYZER -  HSA 9102B",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,1
AIRFORCE,"WATER PROOF POUCH",Blue,"Not Applicable","Not Applicable","Brand New","Brand New",7
